1749746065.982742 server started (27205): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1749746065.982808 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1749746065.982819 using libevent 2.1.12-stable poll
1749746065.982825 using ncurses 6.5 20250125
1749746065.983014 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1749746065.983016 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1749746065.983019 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1749746065.983021 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1749746065.983023 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1749746065.983025 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1749746065.983028 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1749746065.983030 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1749746065.983032 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1749746065.983034 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1749746065.983037 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1749746065.983039 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1749746065.983041 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1749746065.983044 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1749746065.983053 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1749746065.983056 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1749746065.983058 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1749746065.983060 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1749746065.983062 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1749746065.983065 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1749746065.983067 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1749746065.983069 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1749746065.983071 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1749746065.983074 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1749746065.983076 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1749746065.983078 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1749746065.983080 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1749746065.983083 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1749746065.983085 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1749746065.983087 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1749746065.983089 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1749746065.983092 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1749746065.983094 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1749746065.983096 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1749746065.983098 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1749746065.983101 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1749746065.983103 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1749746065.983105 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1749746065.983107 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1749746065.983110 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1749746065.983112 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1749746065.983114 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1749746065.983117 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1749746065.983119 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1749746065.983121 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1749746065.983123 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1749746065.983126 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1749746065.983128 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1749746065.983130 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1749746065.983133 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1749746065.983135 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1749746065.983137 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1749746065.983139 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1749746065.983142 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1749746065.983144 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1749746065.983147 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1749746065.983149 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1749746065.983151 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1749746065.983153 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1749746065.983156 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1749746065.983158 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1749746065.983161 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1749746065.983163 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1749746065.983165 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1749746065.983168 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1749746065.983170 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1749746065.983172 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1749746065.983174 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1749746065.983177 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1749746065.983179 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1749746065.983181 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1749746065.983188 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1749746065.983191 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1749746065.983193 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1749746065.983195 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1749746065.983198 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1749746065.983200 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1749746065.983202 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1749746065.983205 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1749746065.983207 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1749746065.983209 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1749746065.983212 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1749746065.983214 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1749746065.983216 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1749746065.983219 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1749746065.983221 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1749746065.983223 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1749746065.983225 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1749746065.983228 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1749746065.983230 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1749746065.983232 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1749746065.983235 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1749746065.983237 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1749746065.983239 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1749746065.983242 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1749746065.983244 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1749746065.983246 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1749746065.983248 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1749746065.983251 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1749746065.983253 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1749746065.983255 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1749746065.983258 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1749746065.983260 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1749746065.983263 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1749746065.983265 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1749746065.983267 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1749746065.983269 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1749746065.983272 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1749746065.983274 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1749746065.983276 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1749746065.983279 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1749746065.983281 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1749746065.983283 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1749746065.983286 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1749746065.983288 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1749746065.983290 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1749746065.983293 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1749746065.983295 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1749746065.983297 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1749746065.983300 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1749746065.983302 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1749746065.983304 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1749746065.983307 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1749746065.983309 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1749746065.983311 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1749746065.983318 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1749746065.983321 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1749746065.983323 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1749746065.983325 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1749746065.983328 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1749746065.983330 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1749746065.983332 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1749746065.983335 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1749746065.983337 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1749746065.983339 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1749746065.983342 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1749746065.983344 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1749746065.983346 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1749746065.983348 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1749746065.983351 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1749746065.983353 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1749746065.983355 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1749746065.983358 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1749746065.983360 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1749746065.983362 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1749746065.983365 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1749746065.983367 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1749746065.983369 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1749746065.983372 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1749746065.983374 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1749746065.983376 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1749746065.983379 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1749746065.983381 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1749746065.983383 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1749746065.983386 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1749746065.983388 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1749746065.983390 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1749746065.983393 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1749746065.983395 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1749746065.983397 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1749746065.983400 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1749746065.983402 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1749746065.983405 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1749746065.983407 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1749746065.983409 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1749746065.983412 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1749746065.983414 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1749746065.983416 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1749746065.983432 yylex_token: end at WS
1749746065.983434 yylex_token: bind
1749746065.983440 yylex_token: end at WS
1749746065.983444 yylex_token: -N
1749746065.983447 yylex_token: end at WS
1749746065.983449 yylex_token: Send the prefix key
1749746065.983452 yylex_token: end at WS
1749746065.983454 yylex_token: C-b
1749746065.983456 yylex_token: end at WS
1749746065.983458 yylex_token: send-prefix
1749746065.983462 cmd_parse_build_commands 0:0: bind
1749746065.983464 cmd_parse_build_commands 0:1: -N
1749746065.983466 cmd_parse_build_commands 0:2: Send the prefix key
1749746065.983468 cmd_parse_build_commands 0:3: C-b
1749746065.983471 cmd_parse_build_commands 0:4 0:0: send-prefix
1749746065.983480 cmd_parse_build_commands 0:0: send-prefix
1749746065.983496 args_parse: flags end at 1 of 1
1749746065.983499 cmd_parse_build_commands: send-prefix
1749746065.983502 args_parse_flags: next -N
1749746065.983504 args_parse_flag_argument: -N = Send the prefix key
1749746065.983506 args_parse_flags: next C-b
1749746065.983509 args_parse: flags end at 3 of 5
1749746065.983511 args_parse: 3 = C-b (type STRING)
1749746065.983514 args_parse: 4 = send-prefix (type COMMANDS)
1749746065.983526 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1749746065.983530 cmdq_get_command: [bind-key/0x70b893e87200] group 2
1749746065.983532 cmdq_append <global>: [bind-key/0x70b893e87200]
1749746065.983535 yylex_token: end at WS
1749746065.983537 yylex_token: bind
1749746065.983539 yylex_token: end at WS
1749746065.983541 yylex_token: -N
1749746065.983544 yylex_token: end at WS
1749746065.983546 yylex_token: Rotate through the panes
1749746065.983549 yylex_token: end at WS
1749746065.983551 yylex_token: C-o
1749746065.983553 yylex_token: end at WS
1749746065.983555 yylex_token: rotate-window
1749746065.983558 cmd_parse_build_commands 0:0: bind
1749746065.983560 cmd_parse_build_commands 0:1: -N
1749746065.983562 cmd_parse_build_commands 0:2: Rotate through the panes
1749746065.983565 cmd_parse_build_commands 0:3: C-o
1749746065.983567 cmd_parse_build_commands 0:4 0:0: rotate-window
1749746065.983570 cmd_parse_build_commands 0:0: rotate-window
1749746065.983573 args_parse: flags end at 1 of 1
1749746065.983575 cmd_parse_build_commands: rotate-window
1749746065.983578 args_parse_flags: next -N
1749746065.983580 args_parse_flag_argument: -N = Rotate through the panes
1749746065.983582 args_parse_flags: next C-o
1749746065.983584 args_parse: flags end at 3 of 5
1749746065.983586 args_parse: 3 = C-o (type STRING)
1749746065.983589 args_parse: 4 = rotate-window (type COMMANDS)
1749746065.983593 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1749746065.983596 cmdq_get_command: [bind-key/0x70b893e87300] group 10
1749746065.983599 cmdq_append <global>: [bind-key/0x70b893e87300]
1749746065.983601 yylex_token: end at WS
1749746065.983603 yylex_token: bind
1749746065.983605 yylex_token: end at WS
1749746065.983607 yylex_token: -N
1749746065.983610 yylex_token: end at WS
1749746065.983612 yylex_token: Suspend the current client
1749746065.983614 yylex_token: end at WS
1749746065.983616 yylex_token: C-z
1749746065.983619 yylex_token: end at WS
1749746065.983621 yylex_token: suspend-client
1749746065.983623 cmd_parse_build_commands 0:0: bind
1749746065.983625 cmd_parse_build_commands 0:1: -N
1749746065.983628 cmd_parse_build_commands 0:2: Suspend the current client
1749746065.983630 cmd_parse_build_commands 0:3: C-z
1749746065.983632 cmd_parse_build_commands 0:4 0:0: suspend-client
1749746065.983635 cmd_parse_build_commands 0:0: suspend-client
1749746065.983638 args_parse: flags end at 1 of 1
1749746065.983641 cmd_parse_build_commands: suspend-client
1749746065.983643 args_parse_flags: next -N
1749746065.983645 args_parse_flag_argument: -N = Suspend the current client
1749746065.983647 args_parse_flags: next C-z
1749746065.983650 args_parse: flags end at 3 of 5
1749746065.983652 args_parse: 3 = C-z (type STRING)
1749746065.983654 args_parse: 4 = suspend-client (type COMMANDS)
1749746065.983658 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1749746065.983661 cmdq_get_command: [bind-key/0x70b893e87400] group 18
1749746065.983663 cmdq_append <global>: [bind-key/0x70b893e87400]
1749746065.983665 yylex_token: end at WS
1749746065.983667 yylex_token: bind
1749746065.983670 yylex_token: end at WS
1749746065.983672 yylex_token: -N
1749746065.983674 yylex_token: end at WS
1749746065.983676 yylex_token: Select next layout
1749746065.983679 yylex_token: end at WS
1749746065.983681 yylex_token: Space
1749746065.983683 yylex_token: end at WS
1749746065.983685 yylex_token: next-layout
1749746065.983687 cmd_parse_build_commands 0:0: bind
1749746065.983690 cmd_parse_build_commands 0:1: -N
1749746065.983696 cmd_parse_build_commands 0:2: Select next layout
1749746065.983699 cmd_parse_build_commands 0:3: Space
1749746065.983701 cmd_parse_build_commands 0:4 0:0: next-layout
1749746065.983704 cmd_parse_build_commands 0:0: next-layout
1749746065.983706 args_parse: flags end at 1 of 1
1749746065.983709 cmd_parse_build_commands: next-layout
1749746065.983711 args_parse_flags: next -N
1749746065.983713 args_parse_flag_argument: -N = Select next layout
1749746065.983715 args_parse_flags: next Space
1749746065.983717 args_parse: flags end at 3 of 5
1749746065.983720 args_parse: 3 = Space (type STRING)
1749746065.983722 args_parse: 4 = next-layout (type COMMANDS)
1749746065.983726 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1749746065.983728 cmdq_get_command: [bind-key/0x70b893e87500] group 26
1749746065.983731 cmdq_append <global>: [bind-key/0x70b893e87500]
1749746065.983733 yylex_token: end at WS
1749746065.983735 yylex_token: bind
1749746065.983737 yylex_token: end at WS
1749746065.983739 yylex_token: -N
1749746065.983742 yylex_token: end at WS
1749746065.983744 yylex_token: Break pane to a new window
1749746065.983746 yylex_token: end at WS
1749746065.983748 yylex_token: !
1749746065.983750 yylex_token: end at WS
1749746065.983753 yylex_token: break-pane
1749746065.983755 cmd_parse_build_commands 0:0: bind
1749746065.983757 cmd_parse_build_commands 0:1: -N
1749746065.983760 cmd_parse_build_commands 0:2: Break pane to a new window
1749746065.983762 cmd_parse_build_commands 0:3: !
1749746065.983764 cmd_parse_build_commands 0:4 0:0: break-pane
1749746065.983766 cmd_parse_build_commands 0:0: break-pane
1749746065.983769 args_parse: flags end at 1 of 1
1749746065.983771 cmd_parse_build_commands: break-pane
1749746065.983773 args_parse_flags: next -N
1749746065.983776 args_parse_flag_argument: -N = Break pane to a new window
1749746065.983778 args_parse_flags: next !
1749746065.983780 args_parse: flags end at 3 of 5
1749746065.983782 args_parse: 3 = ! (type STRING)
1749746065.983785 args_parse: 4 = break-pane (type COMMANDS)
1749746065.983789 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1749746065.983791 cmdq_get_command: [bind-key/0x70b893e87600] group 34
1749746065.983794 cmdq_append <global>: [bind-key/0x70b893e87600]
1749746065.983796 yylex_token: end at WS
1749746065.983798 yylex_token: bind
1749746065.983800 yylex_token: end at WS
1749746065.983802 yylex_token: -N
1749746065.983805 yylex_token: end at WS
1749746065.983807 yylex_token: Split window vertically
1749746065.983809 yylex_token: end at WS
1749746065.983811 yylex_token: "
1749746065.983813 yylex_token: end at WS
1749746065.983815 yylex_token: split-window
1749746065.983818 cmd_parse_build_commands 0:0: bind
1749746065.983820 cmd_parse_build_commands 0:1: -N
1749746065.983822 cmd_parse_build_commands 0:2: Split window vertically
1749746065.983824 cmd_parse_build_commands 0:3: "
1749746065.983827 cmd_parse_build_commands 0:4 0:0: split-window
1749746065.983829 cmd_parse_build_commands 0:0: split-window
1749746065.983833 args_parse: flags end at 1 of 1
1749746065.983835 cmd_parse_build_commands: split-window
1749746065.983837 args_parse_flags: next -N
1749746065.983839 args_parse_flag_argument: -N = Split window vertically
1749746065.983842 args_parse_flags: next "
1749746065.983844 args_parse: flags end at 3 of 5
1749746065.983846 args_parse: 3 = " (type STRING)
1749746065.983848 args_parse: 4 = split-window (type COMMANDS)
1749746065.983852 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1749746065.983855 cmdq_get_command: [bind-key/0x70b893e87700] group 42
1749746065.983857 cmdq_append <global>: [bind-key/0x70b893e87700]
1749746065.983859 yylex_token: end at WS
1749746065.983861 yylex_token: bind
1749746065.983864 yylex_token: end at WS
1749746065.983866 yylex_token: -N
1749746065.983868 yylex_token: end at WS
1749746065.983870 yylex_token: List all paste buffers
1749746065.983872 yylex_token: end at WS
1749746065.983874 yylex_token: #
1749746065.983882 yylex_token: end at WS
1749746065.983884 yylex_token: list-buffers
1749746065.983886 cmd_parse_build_commands 0:0: bind
1749746065.983888 cmd_parse_build_commands 0:1: -N
1749746065.983891 cmd_parse_build_commands 0:2: List all paste buffers
1749746065.983893 cmd_parse_build_commands 0:3: #
1749746065.983895 cmd_parse_build_commands 0:4 0:0: list-buffers
1749746065.983898 cmd_parse_build_commands 0:0: list-buffers
1749746065.983900 args_parse: flags end at 1 of 1
1749746065.983903 cmd_parse_build_commands: list-buffers
1749746065.983905 args_parse_flags: next -N
1749746065.983907 args_parse_flag_argument: -N = List all paste buffers
1749746065.983909 args_parse_flags: next #
1749746065.983912 args_parse: flags end at 3 of 5
1749746065.983914 args_parse: 3 = # (type STRING)
1749746065.983916 args_parse: 4 = list-buffers (type COMMANDS)
1749746065.983920 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1749746065.983923 cmdq_get_command: [bind-key/0x70b893e87800] group 50
1749746065.983925 cmdq_append <global>: [bind-key/0x70b893e87800]
1749746065.983927 yylex_token: end at WS
1749746065.983929 yylex_token: bind
1749746065.983932 yylex_token: end at WS
1749746065.983934 yylex_token: -N
1749746065.983936 yylex_token: end at WS
1749746065.983938 yylex_token: Rename current session
1749746065.983941 yylex_token: end at WS
1749746065.983943 yylex_token: $
1749746065.983945 yylex_token: end at WS
1749746065.983947 yylex_token: command-prompt
1749746065.983949 yylex_token: end at WS
1749746065.983951 yylex_token: -I#S
1749746065.983954 yylex_token: end at WS
1749746065.983956 yylex_token: rename-session
1749746065.983958 yylex_token: end at WS
1749746065.983960 yylex_token: --
1749746065.983962 yylex_token: end at WS
